school_name,web_address
GORHAM HIGH SCHOOL,https://www.gmhsnh.org/students
GATHERING WATERS CHARTER SCHOOL (H),https://www.gatheringwaterscharter.org/curriculum
HILLSBORO-DEERING HIGH SCHOOL,https://www.hdsd.org/Domain/157
LEAF CHARTER SCHOOL,https://www.leafschoolnh.org/
LIN-WOOD PUBLIC SCHOOL (HIGH),https://www.lin-wood.org/
MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL - MONADNOCK,https://mc2school.org/
ARTS ACADEMY OF NEW HAMPSHIRE CHARTERED PUBLIC HIGH SCHOOL,https://www.artsacademynh.org/
BUD CARLSON ACADEMY,https://www.rochesterschools.com/o/bca
COLEBROOK ACADEMY,https://www.csd.sau7.org/
COMPASS CLASSICAL ACADEMY CHARTER SCHOOL (H),https://compassclassicalacademy.com/
GREAT BAY CHARTER SCHOOL (H),https://www.gbecs.org/
LACONIA HIGH SCHOOL,https://www.lhssau30.org/
